1305	"J R M :Innes;ntis,1968/1969"
1306	"J R M :Innes;ntis,1968/1969"
1307	"J R M :Innes;ntis,1968/1969"
1308	"J R M :Innes;ntis,1968/1969"
1309	"J R M :Innes;ntis,1968/1969"
130m	"W H :Hansen;fctx,11,535-545;1973"
130n	"W H :Hansen;fctx,11,535-545;1973"
1310	"J R M :Innes;ntis,1968/1969"
1311	"J R M :Innes;ntis,1968/1969"
1312	"J R M :Innes;ntis,1968/1969"
1313	"J R M :Innes;ntis,1968/1969"
1314	"B :Toth;myco,68,121-128;1979"
1315	"M :Kinebuchi;fctx,17,339-341;1979"
1316	"S :Takayama;clet,3,115-120;1977"
1317	"D S :Longnecker;jept,4,117-129;1980"
1319	"Y :Sodemoto;jept,4,87-95;1980"
132	"J R M :Innes;ntis,1968/1969"
1320	"R D :Kimbrough;jnci,55,1453-1456;1975"
1321	"I F :Gaunt;fctx,10,17-27;1972"
1324	"M :Rustia;txap,26,329-338;1973"
1325	"P L :Mason;fctx,12,601-607;1974"
1326	"H :Brune;zkko,102,153-157;1981"
1327m	"H :Ishii;txlt,7,433-437;1981"
1327n	"H :Ishii;txlt,7,433-437;1981"
1328	"K :Fujii;gann,71,464-470;1980"
1329	"B :Gold;clet,15,289-300;1982"
133	"J R M :Innes;ntis,1968/1969"
1330	"M :Rustia;clet,11,1-10;1980"
1331	"J K :Reddy;natu,283,397-398;1980"
1332	"N D :Lalwani;carc,2,645-650;1981"
1333	"S B :McCollister;fctx,12,45-61;1974"
1334	"I F :Gaunt;fctx,10,3-15;1972"
1335	"I F :Gaunt;fctx,11,375-382;1973"
1336	"H E :Skipper;srfr,,;1976/Weisburger;canc;1977/Prejean pers.comm."
1336m	"H E :Skipper;srfr,,;1976/Weisburger;canc;1977/Prejean pers.comm."
1336n	"H E :Skipper;srfr,,;1976/Weisburger;canc;1977/Prejean pers.comm."
1337	"J J-P :Drake;txcy,10,17-27;1978"
1338	"K :Kuhara;clet,10,117-122;1980"
1339	"J K :Reddy;bjca,40,476-482;1979"
1340	"I :Ueno;fctx,19,353-355;1981"
1341	"P G :Brantom;fctx,11,735-746;1973"
1342	"R :Preussmann;carc,2,753-756;1981"
1343	"R W :Fleischman;jept,3,149-170;1980"
1344a	"N A :Littlefield;jept,3,17-34;1980/pers.comm."
1344b	"N A :Littlefield;jept,3,17-34;1980/pers.comm."
1344m	"N A :Littlefield;jept,3,17-34;1980/pers.comm."
1344n	"N A :Littlefield;jept,3,17-34;1980/pers.comm."
1344o	"N A :Littlefield;jept,3,17-34;1980/pers.comm."
1344r	"N A :Littlefield;jept,3,17-34;1980/pers.comm."
1344s	"N A :Littlefield;jept,3,17-34;1980/pers.comm."
1344t	"N A :Littlefield;jept,3,17-34;1980/pers.comm."
1344u	"N A :Littlefield;jept,3,17-34;1980/pers.comm."
1344v	"N A :Littlefield;jept,3,17-34;1980/pers.comm."
1344w	"N A :Littlefield;jept,3,17-34;1980/pers.comm."
1344x	"N A :Littlefield;jept,3,17-34;1980/pers.comm."
1344y	"N A :Littlefield;jept,3,17-34;1980/pers.comm."
1344z	"N A :Littlefield;jept,3,17-34;1980/pers.comm."
1345	"M :Sharratt;fctx,2,527-538;1964"
1346	"K :Uraguchi;fctx,10,193-207;1972"
1346m	"K :Uraguchi;fctx,10,193-207;1972"
1346n	"K :Uraguchi;fctx,10,193-207;1972"
1346o	"K :Uraguchi;fctx,10,193-207;1972"
1347	"S R :Pai;carc,2,175-177;1981"
1348	"P N :Harris;txap,21,414-418;1972"
1349	"R :Kroes;txcy,8,285-300;1977"
1350	"J M :Price;scie,167,1131-1132;1970"
1351	"I F :Gaunt;fctx,10,151-162;1972"
1352	"M :Aoyagi;jnci,65,411-414;1980"
1353	"R J :Kociba;fctx,17,205-221;1979"
1354	"P :Grasso;fctx,12,21-31;1974"
1355	"I F :Gaunt;fctx,12,1-10;1974"
1356	"J R M :Innes;ntis,1968/1969"
1357	"J R M :Innes;ntis,1968/1969"
1358	"W A :Mannell;jphp,10,625-634;1958"
1359	"P G :Brantom;fctx,11,755-769;1973"
1360	"W B :Deichmann;imed,34,800-807;1965"
1361	"A S K :Murthy;ijcn,23,253-259;1979"
1364	"K :Uematsu;jnci,51,1337-1338;1973"
1365	"I F H :Purchase;fctx,9,681-682;1971"
1366m	"W B :Deichmann;txap,5,445-456;1963"
1366n	"W B :Deichmann;txap,5,445-456;1963"
1367m	"W E :Heston;jnci,51,209-224;1973"
1367n	"W E :Heston;jnci,51,209-224;1973"
1367o	"W E :Heston;jnci,51,209-224;1973"
